Timestamp,Fact / Evidence/Quote (Please keep this as short as possible whilst being accurate),Source (If no URL upload to drive and extract URL ),Type : Facts or Evidence?,"Subject (If you want to add more that one other tag, please do so in this format under the other option: ""Subject_01, Subject_02, Subject_03 """,Target Audience (who will want to know this),Context,Discord Name or First / Last Name or Group Name,Email address
13/06/2025 14:08:16,"Almost one in five trans people (18 per cent) do not disclose their trans status when seeking medical
care.",https://files.stonewall.org.uk/production/files/lgbt_in_britain_health.pdf?dm=1724230505,Fact (objective and verifiable statement),Healthcare,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, MPs",stone wall 2018,tacc,tacc@info.com
13/06/2025 14:10:10,One in six trans people (16 per cent) been refused care by a healthcare service on the basis of being trans.,https://files.stonewall.org.uk/production/files/lgbt_in_britain_health.pdf?dm=1724230505,Fact (objective and verifiable statement),Healthcare,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, MPs, Single Sex Service Providers",Stonewall 2018 report,tacc,tacc@info.com
13/06/2025 14:12:16,Almost two in five trans people (37 percent) and a third of non-binary people (33 per cent) say they’ve avoided treatment for fear of discrimination because of their trans status.,https://files.stonewall.org.uk/production/files/lgbt_in_britain_health.pdf?dm=1724230505,Fact (objective and verifiable statement),Healthcare,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, MPs",Stonewal 2018 report,tacc,tacc@info.com
13/06/2025 19:22:29,"One in four trans people (25 per cent) have experienced homelessness at some point in
their lives.",https://files.stonewall.org.uk/production/files/lgbt_in_britain_-_trans_report_final.pdf?dm=1724230505,Fact (objective and verifiable statement),Homelessness,Trans +,,tacc,info@tacc.co.uk
14/06/2025 12:18:09,40% of Trans people have experienced transphobia when seekinghousing,https://transactual.org.uk/wp-content/uploads/TransLivesSurvey2021.pdf,Fact (objective and verifiable statement),Homelessness,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, MPs","Trans lives survey 2021, with 678 participants",tacc,tacc@info.com
14/06/2025 12:19:47,"27% of trans people report experiencing homelessness
at some point in their lives, rising to 35% for both BPOC and disabled
respondents",https://transactual.org.uk/wp-content/uploads/TransLivesSurvey2021.pdf,Fact (objective and verifiable statement),Homelessness,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, MPs, Single Sex Service Providers","Trans lives survey 2021, with 678 participants",tacc,tacc@info.com
14/06/2025 12:21:10,"63% of Trans People reported experiencing transphobia while seeking
employment, rising to 73% of BPOC respondents.",https://transactual.org.uk/wp-content/uploads/TransLivesSurvey2021.pdf,Fact (objective and verifiable statement),"Employment, Poverty","Trans +, LGBTQ+, Allies of Trans+, General Population, MPs",Trans Actual trans life survey,tacc,tacc@info.com
14/06/2025 12:22:43,"85% of trans people experience transphobia from family members, with 26% experiencing it ‘frequently’ and 13% ‘every time’",https://transactual.org.uk/wp-content/uploads/TransLivesSurvey2021.pdf,Fact (objective and verifiable statement),Abuse,"Trans +, LGBTQ+, Allies of Trans+, General Population, MPs, Single Sex Service Providers",trans actual trans live survey 2021,tacc,tacc@info.com
14/06/2025 12:24:14,"85% of trans women are subjected to transphobic street harassment from strangers, with 71% of trans men and 73% of non-binary people saying the same.",https://transactual.org.uk/wp-content/uploads/TransLivesSurvey2021.pdf,Fact (objective and verifiable statement),Abuse,"Trans +, LGBTQ+, Allies of Trans+, General Population, MPs, Single Sex Service Providers",Trans Actual Trans Live survey 2021,tacc,tacc@info.com
14/06/2025 14:46:32,"Trans young people [16-25] were found to be particularly vulnerable to homelessness, with 37% expected to experience homelessness compared to cis peers (22%)",https://www.akt.org.uk/wp-content/uploads/2025/02/akt-No-Place-Like-Home-Research-report-lgbt-youth-homelesness-2025.pdf,Fact (objective and verifiable statement),Homelessness,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, MPs, Single Sex Service Providers",AKT Survey of 602 responses for the survey and meta analysis,tacc,tacc@info.com
29/06/2025 23:51:32,"The Gender Recognition Bill has also been influenced by the judgments of the European Court of Human Rights. The court, in interpreting the European convention, now a part of UK law, has stated that a system for recognising transsexual people in their acquired gender must exist and that transsexual people must be granted their rights under Article 8, the right to respect for private life, and Article 12, the right to marry.",https://hansard.parliament.uk/lords/2003-12-18/debates/1bacc5de-e32f-4556-8cb3-0ca85c51fc63/GenderRecognitionBillHl,Quote (direct word for word quote),"Gender Recognition Act 2004, and the Human Rights Act 1998","Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, Academics / Subject Matter Experts, MPs, Single Sex Service Providers","Gender Recognition Bill Hl Volume 655: debated on Thursday 18 December 2003, confirming that Article 8 of the HRA applies to transgender individuals.",tacc,info@tacc.co.uk
